year,month,pr
2041,8,8.839316e-05
2041,9,7.7917925e-05
2041,10,3.569958e-05
2041,11,1.0665007e-05
2041,12,3.335125e-05
2042,1,9.367448e-06
2042,2,1.602338e-05
2042,3,1.47722385e-05
2042,4,7.1615673e-06
2042,5,3.179715e-05
2042,6,3.0191568e-05
2042,7,0.000108254855
2042,8,9.162767e-05
2042,9,8.094147e-05
2042,10,4.801792e-05
2042,11,1.6171347e-05
2042,12,5.159863e-06
2043,1,5.2708256e-06
2043,2,2.2668962e-06
2043,3,9.112424e-06
2043,4,5.8373266e-06
2043,5,2.179607e-05
2043,6,5.086502e-05
2043,7,8.423822e-05
2043,8,9.111081e-05
2043,9,9.007879e-05
2043,10,5.565753e-05
2043,11,2.3234536e-05
2043,12,1.2474641e-05
2044,1,5.3001586e-06
2044,2,3.0213912e-06
2044,3,3.9829933e-06
2044,4,1.27436815e-05
2044,5,2.3194358e-05
2044,6,4.4853605e-05
2044,7,9.367307e-05
2044,8,0.00010187688
2044,9,7.893846e-05
2044,10,4.7882968e-05
2044,11,2.7092467e-05
2044,12,7.567938e-06
2045,1,2.3969449e-06
2045,2,2.641568e-06
2045,3,1.5275501e-06
2045,4,4.0942227e-06
2045,5,1.9582101e-05
2045,6,4.2181884e-05
2045,7,9.616698e-05
2045,8,8.907587e-05
2045,9,7.994712e-05
2045,10,4.6299174e-05
2045,11,3.170227e-05
2045,12,5.072083e-06
2046,1,4.920523e-06
2046,2,1.4255976e-06
2046,3,1.1709792e-06
2046,4,4.6511204e-06
2046,5,1.3225165e-05
2046,6,7.571913e-05
2046,7,0.00011419095
2046,8,9.442688e-05
2046,9,7.94537e-05
2046,10,6.560117e-05
2046,11,4.1444233e-05
2046,12,8.280941e-06
2047,1,2.6438233e-06
2047,2,2.4152914e-06
2047,3,1.2172385e-06
2047,4,4.051442e-06
2047,5,9.708605e-06
2047,6,4.0064075e-05
2047,7,0.00012133696
2047,8,9.813344e-05
2047,9,9.303517e-05
2047,10,6.710346e-05
2047,11,1.3372225e-05
2047,12,1.3116144e-05
2048,1,1.871666e-05
2048,2,1.09642915e-05
2048,3,5.6020663e-06
2048,4,8.629989e-06
2048,5,2.2835598e-05
2048,6,3.0257985e-05
2048,7,9.649686e-05
2048,8,9.671124e-05
2048,9,7.794521e-05
2048,10,3.1606472e-05
2048,11,3.2775115e-05
2048,12,1.4268015e-05
2049,1,3.4051477e-06
2049,2,1.3429209e-06
2049,3,2.1458654e-06
2049,4,5.1540833e-06
2049,5,1.3980871e-05
2049,6,4.2318246e-05
2049,7,0.00010863805
2049,8,0.00010572128
2049,9,8.380625e-05
2049,10,4.727258e-05
2049,11,2.5916006e-05
2049,12,2.3596884e-05
2050,1,1.0225076e-05
2050,2,4.757797e-06
2050,3,1.2355607e-05
2050,4,9.698797e-06
2050,5,2.0630023e-05
2050,6,4.196041e-05
2050,7,0.000121128774
2050,8,0.00010309932
2050,9,8.815989e-05
2050,10,6.564148e-05
2050,11,2.6042364e-05
2050,12,5.0875356e-06
2051,1,2.824651e-06
2051,2,7.837841e-06
2051,3,8.72541e-06
2051,4,1.3774907e-05
2051,5,1.816083e-05
2051,6,6.439585e-05
2051,7,8.760817e-05
2051,8,0.00011313916
2051,9,9.610931e-05
2051,10,3.868355e-05
2051,11,2.3024013e-05
2051,12,2.7984368e-05
2052,1,2.7093529e-06
2052,2,9.4556077e-07
2052,3,1.0197829e-05
2052,4,5.9727795e-06
2052,5,2.1199656e-05
2052,6,4.2886248e-05
2052,7,0.00011835917
2052,8,8.632184e-05
2052,9,7.645131e-05
2052,10,3.80223e-05
2052,11,4.603578e-05
2052,12,1.3688631e-05
2053,1,3.7829443e-06
2053,2,2.35698e-06
2053,3,1.4178286e-06
2053,4,3.000776e-06
2053,5,6.7255387e-06
2053,6,8.956156e-05
2053,7,7.2549155e-05
2053,8,9.569808e-05
2053,9,9.563724e-05
2053,10,4.0634295e-05
2053,11,4.439394e-05
2053,12,1.5062761e-05
2054,1,4.8148245e-06
2054,2,2.6370335e-06
2054,3,3.6228093e-06
2054,4,7.449839e-06
2054,5,1.57439e-05
2054,6,5.886798e-05
2054,7,0.00012425298
2054,8,0.00010535226
2054,9,8.641301e-05
2054,10,5.7039826e-05
2054,11,3.0583356e-05
2054,12,6.694688e-06
2055,1,1.881912e-05
2055,2,9.62879e-06
2055,3,2.889254e-06
2055,4,7.3108354e-06
2055,5,2.3734765e-05
2055,6,4.061744e-05
2055,7,7.368322e-05
2055,8,0.000108544045
2055,9,9.396403e-05
2055,10,3.6566773e-05
2055,11,4.2415166e-05
2055,12,1.39015665e-05
2056,1,4.163094e-06
2056,2,3.4064904e-06
2056,3,1.3399587e-06
2056,4,4.7051494e-06
2056,5,2.4373285e-05
2056,6,4.637494e-05
2056,7,0.00012391257
2056,8,0.00011271546
2056,9,7.918626e-05
2056,10,4.754054e-05
2056,11,4.8424088e-05
2056,12,1.4018089e-05
2057,1,4.689499e-06
2057,2,2.4857345e-06
2057,3,5.4323264e-06
2057,4,5.6328795e-06
2057,5,1.6205155e-05
2057,6,5.2658655e-05
2057,7,0.00011787603
2057,8,8.832449e-05
2057,9,9.012598e-05
2057,10,5.9195005e-05
2057,11,4.3567597e-05
2057,12,3.330126e-05
2058,1,2.2626598e-05
2058,2,3.489181e-05
2058,3,1.9562307e-05
2058,4,1.4986907e-05
2058,5,1.2419044e-05
2058,6,6.469809e-05
2058,7,0.0001007136
2058,8,0.00010546293
2058,9,0.00010295323
2058,10,4.7808455e-05
2058,11,1.7728988e-05
2058,12,2.107034e-05
2059,1,1.7400049e-05
2059,2,1.4576442e-05
2059,3,1.8144774e-06
2059,4,1.2834276e-05
2059,5,2.1737114e-05
2059,6,5.950206e-05
2059,7,9.037672e-05
2059,8,0.00012641966
2059,9,8.1884726e-05
2059,10,3.575614e-05
2059,11,3.721351e-05
2059,12,1.3169958e-05
2060,1,4.2256474e-06
2060,2,3.360286e-06
2060,3,1.8039366e-06
2060,4,3.4495415e-06
2060,5,1.32482455e-05
2060,6,5.457549e-05
2060,7,0.000102279286
2060,8,0.000106713436
2060,9,9.199375e-05
2060,10,4.1468873e-05
2060,11,2.419018e-05
2060,12,3.2679574e-05
2061,1,8.654773e-06
2061,2,6.1145834e-06
2061,3,6.6050907e-06
2061,4,7.349927e-06
2061,5,1.9153016e-05
2061,6,3.9304818e-05
2061,7,9.635286e-05
2061,8,9.905068e-05
2061,9,9.54359e-05
2061,10,3.8162838e-05
2061,11,5.933244e-05
2061,12,2.2987175e-05
2062,1,1.4258748e-05
2062,2,5.4476736e-06
2062,3,5.0015406e-06
2062,4,5.2182113e-06
2062,5,1.0986039e-05
2062,6,6.609164e-05
2062,7,9.948983e-05
2062,8,8.2928906e-05
2062,9,9.5575044e-05
2062,10,6.493185e-05
2062,11,3.3214008e-05
2062,12,1.0843479e-05
2063,1,7.968947e-06
2063,2,1.5771038e-05
2063,3,1.5253457e-05
2063,4,1.3429522e-05
2063,5,1.15656e-05
2063,6,5.019492e-05
2063,7,0.00010190917
2063,8,9.968466e-05
2063,9,7.8736666e-05
2063,10,2.9368628e-05
2063,11,5.939331e-05
2063,12,8.934245e-06
2064,1,3.0532535e-06
2064,2,3.6549634e-06
2064,3,2.9058378e-06
2064,4,4.9987275e-06
2064,5,1.2581238e-05
2064,6,2.553692e-05
2064,7,0.00011272791
2064,8,0.000103031765
2064,9,0.000103809594
2064,10,3.581475e-05
2064,11,1.5970887e-05
2064,12,1.1848215e-05
2065,1,3.3285278e-06
2065,2,4.2377133e-06
2065,3,1.8104112e-05
2065,4,1.7334296e-05
2065,5,6.4697037e-06
2065,6,3.7637656e-05
2065,7,0.00012080089
2065,8,0.00011059232
2065,9,0.00010524481
2065,10,4.7382902e-05
2065,11,3.4912e-05
2065,12,2.5080986e-05
2066,1,2.6816651e-06
2066,2,1.0388167e-06
2066,3,5.8140863e-06
2066,4,4.80199e-06
2066,5,1.3507415e-05
2066,6,5.451275e-05
2066,7,0.000101796955
2066,8,0.00012712502
2066,9,0.00011279036
2066,10,3.6867084e-05
2066,11,1.798453e-05
2066,12,1.1731658e-05
2067,1,1.8272856e-06
2067,2,2.2339489e-06
2067,3,2.8763584e-06
2067,4,5.7550888e-06
2067,5,1.8462326e-05
2067,6,7.5266675e-05
2067,7,9.161484e-05
2067,8,0.00010056395
2067,9,9.161303e-05
2067,10,4.064612e-05
2067,11,2.7478403e-05
2067,12,7.2896764e-06
2068,1,8.75818e-06
2068,2,2.8295678e-06
2068,3,2.5611478e-06
2068,4,3.5074215e-06
2068,5,1.9845796e-05
2068,6,3.905731e-05
2068,7,0.00010126747
2068,8,0.00010531536
2068,9,7.657419e-05
2068,10,4.5116234e-05
2068,11,2.692759e-05
2068,12,2.7137554e-05
2069,1,1.4845465e-05
2069,2,2.2952065e-06
2069,3,3.0213228e-06
2069,4,2.0876107e-06
2069,5,1.5890308e-05
2069,6,5.8204536e-05
2069,7,9.175302e-05
2069,8,0.000114951945
2069,9,9.9729754e-05
2069,10,6.33173e-05
2069,11,3.0600128e-05
2069,12,2.1567846e-05
2070,1,6.334484e-06
2070,2,1.32912155e-05
2070,3,4.8863963e-06
2070,4,8.619492e-06
2070,5,2.6843907e-05
2070,6,4.0238672e-05
2070,7,0.00011206507
2070,8,0.00010942547
2070,9,9.727302e-05
2070,10,6.351606e-05
2070,11,2.3459703e-05
2070,12,1.680743e-05
2071,1,1.14421955e-05
2071,2,1.2939901e-06
2071,3,2.2807476e-06
2071,4,5.069714e-06
2071,5,2.1852771e-05
2071,6,7.095944e-05
2071,7,8.3032704e-05
2071,8,0.000110169996
2071,9,8.966799e-05
2071,10,6.938988e-05
2071,11,2.5424388e-05
2071,12,2.1012047e-05
2072,1,5.244008e-06
2072,2,2.64034e-06
2072,3,3.93101e-06
2072,4,6.9766797e-06
2072,5,2.6725505e-05
2072,6,4.187969e-05
2072,7,0.00010404306
2072,8,0.00010982245
2072,9,9.928117e-05
2072,10,4.395722e-05
2072,11,4.1721236e-05
2072,12,5.9774748e-06
2073,1,7.2732464e-06
2073,2,2.7015012e-06
2073,3,3.4831662e-06
2073,4,8.956463e-06
2073,5,1.3880209e-05
2073,6,4.4173852e-05
2073,7,0.000106835716
2073,8,0.00011497143
2073,9,7.7284545e-05
2073,10,4.9155646e-05
2073,11,1.7214938e-05
2073,12,1.4194299e-05
2074,1,5.2496407e-06
2074,2,4.167277e-06
2074,3,6.8363734e-06
2074,4,2.4264434e-06
2074,5,1.9520616e-05
2074,6,8.750818e-05
2074,7,0.00010341091
2074,8,9.090883e-05
2074,9,7.807793e-05
2074,10,3.588193e-05
2074,11,1.9979641e-05
2074,12,2.3846798e-05
2075,1,8.365452e-06
2075,2,3.346502e-06
2075,3,1.1593775e-06
2075,4,4.4687895e-06
2075,5,2.002365e-05
2075,6,5.2404917e-05
2075,7,9.817752e-05
2075,8,0.00012764319
2075,9,9.6293574e-05
2075,10,6.733056e-05
2075,11,1.4007662e-05
2075,12,2.0018879e-05
2076,1,7.874192e-06
2076,2,4.125283e-06
2076,3,9.223893e-06
2076,4,7.91195e-06
2076,5,6.0094535e-06
2076,6,4.3585005e-05
2076,7,0.0001178146
2076,8,9.4558374e-05
2076,9,7.808775e-05
2076,10,4.1132804e-05
2076,11,1.8889166e-05
2076,12,1.2933588e-05
2077,1,5.664106e-06
2077,2,1.5396264e-06
2077,3,2.6890673e-06
2077,4,8.878103e-06
2077,5,1.8726494e-05
2077,6,4.136881e-05
